group     Volume   Number.of.transactions	     Final.price.percentage
1	293165973	  8200                  	-4.4
1	642838894	13653	                 	-4.7
1	808766074	17970	                 	-1.5
1	218853528	2912	                 	4.9
1	742179565	22879	                 	1.9
1	772516419	17061	                 	-2.3
1	410108770	9200	                 	-1.4
1	96715125	2722	                 	-2.5
1	387466562	9063	                 	-2.9
1	9122671	        530	                 	-0.4
1	11737490	677	                 	-0.5
1	515569345	13273	                 	0.6
1	925184942	24389	                 	2.5
1	1143859121	32016	                 	-1.5
1	238417312	4016	                 	-2.9
1	11370680	865	                 	-0.4
1	31234451	1222	                 	-1.4
1	122850951	3385	                 	-2.8
1	7379921       	483	                 	-0.3
1	86045214	502	                 	-0.1
2	261264767	8795	                 	-4.1
2	783602778	16231	                 	-4.5
2	709214458	16783	                 	-1.5
2	1000997689	16727	                 	4.6
2	355840919	12137	                 	0.7
2	601320806	18871	                 	-0.4
2	635037324	18029	                 	4.6
2	784428921	20074	                 	-1.9
2	61487751	1243	                 	-2.9
2	149119762	4658	                 	-2.3
2	769114887	18765	                 	-2.8
2	19545141	971	                 	-1.0
2	19594911	1035	                 	-1
2	590218523	13263	                 	-0.9
2	807459265	20859	                 	2.9
2	661773678	19634	                 	1.9
2	766152856	19109	                 	-2.8
2	19186276	1138	                 	-0.9
2	318688740	8429	                 	-2.7
2	214824503	6949	                 	-2.7
3	80817063	2591	                 	-4.4
3	169118728	4727	                 	-4.7
3	235702652	7443	                 	-1.3
3	321926291	7051	                 	4.6
3	195555296	8651	                 	-1.4
3	174576523	7439	                 	-1.8
3	379617106	15129	                 	0.5
3	298129559	9447	                 	-2.8
3	1340347	        169	                 	-0.1
3	7824156	        420	                 	-1.1
3	29898524	917	                 	-2.9
3	4913962	        238	                 	-0.7
3	4209792       	290	                 	-0.5
3	147888632	6039	                 	-0.4
3	440860483	16607	                 	-0.8
3	384119795	14037	                 	-1.9
3	3721124       	359	                 	-0.3
3	2866994       	179	                 	-0.3
3	2799901	        308	                 	-0.3
3	10364465	495	                 	-1.5
4	83453200	2111	                 	-4.4
4	105038381	2248	                 	-4.7
4	216097855	4874	                 	-3.2
4	555227580	7739	                 	4.6
4	272953806	6057	                 	-3.0
4	257980427	5293	                 	-1.4
4	296280667	5705	                 	-1.5
4	362138485	8234	                 	0.5
4	389576223	6303	                 	-1.9
4	286254156	5612	                 	-2.1
4	14275886	359	                 	-0.8
4	139031314	2762	                 	-2.3
4	343953042	8130	                 	0.2
4	234301194	3234	                 	-2.8
4	61502834	1388	                 	-2.4
4	758876862	16721	                 	3.4
4	501229329	7217	                 	5.9
4	572391086	12708	                 	0.7
4	168743846	2670                 		-6.9
4	15426598	398	                 	-0.9
5	3174979       	129	                 	-2.6
5	10921907	487	                 	-5
5	24511515	1493	                 	-4.0
5	142664614	6883	                 	-2.4
5	4189797       	138	                 	-3.4
5	6463174       	103	                 	-0.9
5	8020991       	230	                 	-1.1
5	254003       	39	                 	-0.3
5	50011	        10	                 	0.4
5	104360	        14	                 	-0.7
5	193607       	32	                 	-0.3
5	126255       	21	                 	0.1
5	88391	        18	                 	-0.9
5	6168430	        390	                 	-1.9
5	552272       	74	                 	0.7
5	966907       	78	                 	-1.3
5	131515       	24	                 	1.2
5	178823       	25	                 	1.5
5	183285       	25	                 	-0.6
5	105548       	28	                 	0.02
6	173676	        49	                 	-0.2
6	979134	        110	                 	-1.4
6	10951694	1090	                 	-4.4
6	97951944	6972	                 	-3.7
6	813496	        62	                 	-1.2
6	4615671	        150	                 	-1.2
6	5072866	        225	                 	-1.4
6	1098301	        163	                 	-0.6
6	32252	        12	                 	-0.7
6	29601	        16	                 	0.4
6	51983	        24	                 	-0.2
6	24811	        14	                 	0.9
6	86945	        15	                 	-0.2
6	147838	        35	                 	-0.8
6	329938	        89	                 	0.2
6	374660	        61	                 	-1.8
6	115266	        24	                 	-1.5
6	72276	        30	                 	1.0
6	108375	        27	                 	0.8
6	36048	        9	                 	-0.6
